dest_ip,metadata_comment
9.143.0.0/16,ASN not found
103.255.140.0/23,ASN not found
52.122.104.0/21,ASN not found
20.33.117.0/24,ASN not found
20.33.20.0/24,ASN not found
2620:1ec:13::/48,ASN not found
20.157.60.0/24,ASN not found
2620:0:30::/45,ASN not found
20.157.28.0/24,ASN not found
20.157.57.0/24,ASN not found
20.157.167.0/24,ASN not found
40.169.0.0/16,ASN not found
20.33.86.0/24,ASN not found
103.25.156.0/24,ASN not found
2603:1063:300::/40,ASN not found
20.47.57.0/24,ASN not found
2001:506:28::/48,ASN not found
2a01:110:8020::/48,ASN not found
64.238.96.0/19,ASN not found
2404:f800::/32,ASN not found
23.100.0.0/15,ASN not found
52.112.0.0/14,ASN not found
20.33.198.0/24,ASN not found
20.157.46.0/24,ASN not found
20.157.107.0/24,ASN not found
145.132.0.0/15,ASN not found
52.122.224.0/22,ASN not found
2404:f801::/32,ASN not found
52.122.168.0/21,ASN not found
40.96.0.0/13,ASN not found
20.33.44.0/24,ASN not found
20.33.41.0/24,ASN not found
20.157.45.0/24,ASN not found
51.109.0.0/16,ASN not found
20.157.148.0/24,ASN not found
167.220.152.0/24,ASN not found
130.107.0.0/16,ASN not found
2620:1ec:8f0::/48,ASN not found
20.157.32.0/24,ASN not found
20.157.180.0/24,ASN not found
20.157.114.0/24,ASN not found
20.46.192.0/19,ASN not found
13.107.3.0/24,ASN not found
131.163.0.0/16,ASN not found
2602:fd5e:4::/48,ASN not found
155.62.0.0/16,ASN not found
20.157.201.0/24,ASN not found
20.47.72.0/23,ASN not found
199.118.0.0/16,ASN not found
2001:4898::/31,ASN not found
74.123.179.0/24,AS17144
20.47.42.0/24,ASN not found
52.122.32.0/22,ASN not found
20.47.90.0/24,ASN not found
52.113.194.0/24,ASN not found
20.47.111.0/24,ASN not found
2602:fdbb::/36,ASN not found
