alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1789581994.9533,elite,3525.4797935486,1789581323.4686,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789580389,1789582038.9627,14759,socks5,45.74.31.25:14759,true,3277.6844501495,2,3,40,45.74.31.25
true,1789581891.4356,elite,4397.4930729684,1789537153.7477,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789533876,1789582038.94,10925,socks5,45.74.31.22:10925,true,4021.1112499237,341,227,60.035211267606,45.74.31.22
true,1789581972.1,elite,5758.0080512592,1789450773.8222,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789447124,1789582038.9181,6842,socks5,45.74.31.25:6842,true,3659.6057415009,700,873,44.500953591863,45.74.31.25
true,1789582001.2596,elite,884.74792711988,1696987042.8523,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,,true,"Performive LLC",33.7488,-84.3877,false,"Performive LLC",true,Georgia,success,America/New_York,30302,1789432674,1789582038.9177,4145,socks4,192.111.137.35:4145,true,739.27640914917,469806,1043942,31.035945216773,192.111.137.35
true,1789582038.8949,elite,2760.2337327955,1776081778.77,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Irvine,"North America",NA,"United States",US,,false,"Cox Communications Inc.",33.6846,-117.827,false,"Cox Communications",true,California,success,America/Los_Angeles,92612,1789557753,1789582038.8949,4145,socks5,72.195.34.41:4145,true,1976.6850471497,120511,78863,60.444691885602,72.195.34.41
true,1789582038.6454,elite,2107.2070179929,1696978243.8307,"AS29588 Ivstar Ltd",IVSTARNET-AS,Ivanteyevka,Europe,EU,Russia,RU,,false,"Ivstar Ltd",55.9711,37.9178,false,"Ivstar Ltd",true,"Moscow Oblast",success,Europe/Moscow,141280,1789390824,1789582038.845,4145,socks4,91.247.250.215:4145,true,3255.2943229675,218566,1022922,17.60516412563,91.247.250.215
true,1789491343.5061,elite,1159.667437277,1752072178.3183,"AS4837 CHINA UNICOM China169 Backbone",CHINA169-Backbone,Jinrongjie,Asia,AS,China,CN,"Xicheng District",false,"CHINA UNICOM China169 Backbone",39.9236,116.36,false,"huazhenggongXS com",true,Beijing,success,Asia/Shanghai,,1789574112,1789582038.8062,9091,http,113.204.79.230:9091,false,864.417552948,547941,12014,97.854470448518,113.204.79.230
true,1789581636.7338,elite,9530.4628737429,1786782702.4588,"AS132165 Connect Communications",CONNECT-AS-AP,"Tando Adam",Asia,AS,Pakistan,PK,,false,"Connect Communication",25.8943,68.5247,false,WANGSU,true,Sindh,success,Asia/Karachi,68050,1789198455,1789582038.8056,10924,socks4,111.119.162.248:10924,true,2755.735874176,52288,65511,44.387473577874,111.119.162.248
true,1789582035.2132,elite,2649.3656362216,1696968113.9701,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Pensacola,"North America",NA,"United States",US,,false,"Cox Communications Inc.",30.4077,-87.219,false,"Cox Communications",true,Florida,success,America/Chicago,32516,1789344805,1789582038.757,4145,socks4,98.188.47.150:4145,true,3819.4773197174,622966,916821,40.457933467421,98.188.47.150
true,1789581872.5427,elite,4865.3549332904,1789542723.2708,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789541376,1789582038.6142,12191,socks5,45.74.31.50:12191,true,893.05853843689,117,226,34.110787172012,45.74.31.50
true,1789582003.8111,elite,2661.56294306,1789487498.8653,"AS137266 CHINATELECOM Hubei province Wuhan 5G network",CHINATELECOM-HUBEI-WUHAN-5G-NETWORK,Shizishan,Asia,AS,China,CN,,false,"China Telecom",30.5454,114.342,false,"Chinanet HB",false,Hubei,success,Asia/Shanghai,,1789486748,1789582038.5095,8082,socks4,221.232.8.220:8082,true,2238.4347915649,1017,3360,23.23509252913,221.232.8.220
true,1789582004.5223,elite,2010.8221735619,1786226939.8559,"AS3320 Deutsche Telekom AG",DTAG,Berlin,Europe,EU,Germany,DE,,false,"Deutsche Telekom AG",52.5312,13.3878,false,"SANA Berlin Hotel",true,"State of Berlin",success,Europe/Berlin,10115,1789249643,1789582038.471,4153,socks4,193.158.12.141:4153,true,79.211711883545,65287,88236,42.525875601701,193.158.12.141
